 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.00000000e-01  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.00000000e-03  0.00000000e+00  1.14189392e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00 
 1.00000000e-08  1.00000000e-08  1.00000000e-08  0.00000000e+00  1.00000000e-08  0.00000000e+00  1.00000000e-08  0.00000000e+00  1.00000000e-08  0.00000000e+00  1.00000000e-08  0.00000000e+00  1.00000000e-08  2.00040008e-01  1.00000000e-08  1.00080064e+00  1.00000000e-08  0.00000000e+00  1.00000000e-08 -7.50150030e-04  1.00000000e-08 -7.50150030e-04  1.00000000e-08  0.00000000e+00  1.00000000e-08  0.00000000e+00  1.00000000e-08  0.00000000e+00  1.00000000e-08  0.00000000e+00  1.00000000e-08  5.99998115e-03  1.00000000e-08  1.14189392e+00  1.00000000e-08  0.00000000e+00  1.00000000e-08  9.99549098e-01 
 2.00000000e-08  2.00000000e-08  2.00000000e-08  0.00000000e+00  2.00000000e-08  0.00000000e+00  2.00000000e-08  0.00000000e+00  2.00000000e-08  0.00000000e+00  2.00000000e-08  0.00000000e+00  2.00000000e-08  2.00040008e-01  2.00000000e-08  1.00080064e+00  2.00000000e-08  0.00000000e+00  2.00000000e-08 -7.50150030e-04  2.00000000e-08 -7.50150030e-04  2.00000000e-08  0.00000000e+00  2.00000000e-08  0.00000000e+00  2.00000000e-08  0.00000000e+00  2.00000000e-08  0.00000000e+00  2.00000000e-08  5.99996230e-03  2.00000000e-08  1.14189392e+00  2.00000000e-08  0.00000000e+00  2.00000000e-08  9.99098196e-01 
 4.00000000e-08  4.00000000e-08  4.00000000e-08  0.00000000e+00  4.00000000e-08  0.00000000e+00  4.00000000e-08  0.00000000e+00  4.00000000e-08  0.00000000e+00  4.00000000e-08  0.00000000e+00  4.00000000e-08  2.00040008e-01  4.00000000e-08  1.00080064e+00  4.00000000e-08  0.00000000e+00  4.00000000e-08 -7.50150030e-04  4.00000000e-08 -7.50150030e-04  4.00000000e-08  0.00000000e+00  4.00000000e-08  0.00000000e+00  4.00000000e-08  0.00000000e+00  4.00000000e-08  0.00000000e+00  4.00000000e-08  5.99992460e-03  4.00000000e-08  1.14189392e+00  4.00000000e-08  0.00000000e+00  4.00000000e-08  9.98196393e-01 
 8.00000000e-08  8.00000000e-08  8.00000000e-08  0.00000000e+00  8.00000000e-08  0.00000000e+00  8.00000000e-08  0.00000000e+00  8.00000000e-08  0.00000000e+00  8.00000000e-08  0.00000000e+00  8.00000000e-08  2.00040008e-01  8.00000000e-08  1.00080064e+00  8.00000000e-08  0.00000000e+00  8.00000000e-08 -7.50150030e-04  8.00000000e-08 -7.50150030e-04  8.00000000e-08  0.00000000e+00  8.00000000e-08  0.00000000e+00  8.00000000e-08  0.00000000e+00  8.00000000e-08  0.00000000e+00  8.00000000e-08  5.99984920e-03  8.00000000e-08  1.14189392e+00  8.00000000e-08  0.00000000e+00  8.00000000e-08  9.96392786e-01 
 1.60000000e-07  1.60000000e-07  1.60000000e-07  0.00000000e+00  1.60000000e-07  0.00000000e+00  1.60000000e-07  0.00000000e+00  1.60000000e-07  0.00000000e+00  1.60000000e-07  0.00000000e+00  1.60000000e-07  2.00040008e-01  1.60000000e-07  1.00080064e+00  1.60000000e-07  0.00000000e+00  1.60000000e-07 -7.50150030e-04  1.60000000e-07 -7.50150030e-04  1.60000000e-07  0.00000000e+00  1.60000000e-07  0.00000000e+00  1.60000000e-07  0.00000000e+00  1.60000000e-07  0.00000000e+00  1.60000000e-07  5.99969841e-03  1.60000000e-07  1.14189392e+00  1.60000000e-07  0.00000000e+00  1.60000000e-07  9.92785571e-01 
 3.20000000e-07  3.20000000e-07  3.20000000e-07  0.00000000e+00  3.20000000e-07  0.00000000e+00  3.20000000e-07  0.00000000e+00  3.20000000e-07  0.00000000e+00  3.20000000e-07  0.00000000e+00  3.20000000e-07  2.00040008e-01  3.20000000e-07  1.00080064e+00  3.20000000e-07  0.00000000e+00  3.20000000e-07 -7.50150030e-04  3.20000000e-07 -7.50150030e-04  3.20000000e-07  0.00000000e+00  3.20000000e-07  0.00000000e+00  3.20000000e-07  0.00000000e+00  3.20000000e-07  0.00000000e+00  3.20000000e-07  5.99939681e-03  3.20000000e-07  1.14189392e+00  3.20000000e-07  0.00000000e+00  3.20000000e-07  9.85571142e-01 
 6.40000000e-07  6.40000000e-07  6.40000000e-07  0.00000000e+00  6.40000000e-07  0.00000000e+00  6.40000000e-07  0.00000000e+00  6.40000000e-07  0.00000000e+00  6.40000000e-07  0.00000000e+00  6.40000000e-07  2.00040008e-01  6.40000000e-07  1.00080064e+00  6.40000000e-07  0.00000000e+00  6.40000000e-07 -7.50150030e-04  6.40000000e-07 -7.50150030e-04  6.40000000e-07  0.00000000e+00  6.40000000e-07  0.00000000e+00  6.40000000e-07  0.00000000e+00  6.40000000e-07  0.00000000e+00  6.40000000e-07  5.99879361e-03  6.40000000e-07  1.14189392e+00  6.40000000e-07  0.00000000e+00  6.40000000e-07  9.71142285e-01 
 1.00000000e-06  1.00000000e-06  1.00000000e-06  0.00000000e+00  1.00000000e-06  0.00000000e+00  1.00000000e-06  0.00000000e+00  1.00000000e-06  0.00000000e+00  1.00000000e-06  0.00000000e+00  1.00000000e-06  2.00040008e-01  1.00000000e-06  1.00080064e+00  1.00000000e-06  0.00000000e+00  1.00000000e-06 -7.50150030e-04  1.00000000e-06 -7.50150030e-04  1.00000000e-06  0.00000000e+00  1.00000000e-06  0.00000000e+00  1.00000000e-06  0.00000000e+00  1.00000000e-06  0.00000000e+00  1.00000000e-06  5.99811500e-03  1.00000000e-06  1.14189392e+00  1.00000000e-06  0.00000000e+00  1.00000000e-06  9.54909820e-01 
 1.06400000e-06  1.06400000e-06  1.06400000e-06  0.00000000e+00  1.06400000e-06  0.00000000e+00  1.06400000e-06  0.00000000e+00  1.06400000e-06  0.00000000e+00  1.06400000e-06  0.00000000e+00  1.06400000e-06  2.00040008e-01  1.06400000e-06  1.00080064e+00  1.06400000e-06  0.00000000e+00  1.06400000e-06 -7.50150030e-04  1.06400000e-06 -7.50150030e-04  1.06400000e-06  0.00000000e+00  1.06400000e-06  0.00000000e+00  1.06400000e-06  0.00000000e+00  1.06400000e-06  0.00000000e+00  1.06400000e-06  5.99799435e-03  1.06400000e-06  1.14189392e+00  1.06400000e-06  0.00000000e+00  1.06400000e-06  9.54909820e-01 
 1.19200000e-06  1.19200000e-06  1.19200000e-06  0.00000000e+00  1.19200000e-06  0.00000000e+00  1.19200000e-06  0.00000000e+00  1.19200000e-06  0.00000000e+00  1.19200000e-06  0.00000000e+00  1.19200000e-06  2.00040008e-01  1.19200000e-06  1.00080064e+00  1.19200000e-06  0.00000000e+00  1.19200000e-06 -7.50150030e-04  1.19200000e-06 -7.50150030e-04  1.19200000e-06  0.00000000e+00  1.19200000e-06  0.00000000e+00  1.19200000e-06  0.00000000e+00  1.19200000e-06  0.00000000e+00  1.19200000e-06  5.99775307e-03  1.19200000e-06  1.14189392e+00  1.19200000e-06  0.00000000e+00  1.19200000e-06  9.54909820e-01 
 1.44800000e-06  1.44800000e-06  1.44800000e-06  0.00000000e+00  1.44800000e-06  0.00000000e+00  1.44800000e-06  0.00000000e+00  1.44800000e-06  0.00000000e+00  1.44800000e-06  0.00000000e+00  1.44800000e-06  2.00040008e-01  1.44800000e-06  1.00080064e+00  1.44800000e-06  0.00000000e+00  1.44800000e-06 -7.50150030e-04  1.44800000e-06 -7.50150030e-04  1.44800000e-06  0.00000000e+00  1.44800000e-06  0.00000000e+00  1.44800000e-06  0.00000000e+00  1.44800000e-06  0.00000000e+00  1.44800000e-06  5.99727048e-03  1.44800000e-06  1.14189392e+00  1.44800000e-06  0.00000000e+00  1.44800000e-06  9.54909820e-01 
 1.96000000e-06  1.96000000e-06  1.96000000e-06  0.00000000e+00  1.96000000e-06  0.00000000e+00  1.96000000e-06  0.00000000e+00  1.96000000e-06  0.00000000e+00  1.96000000e-06  0.00000000e+00  1.96000000e-06  2.00040008e-01  1.96000000e-06  1.00080064e+00  1.96000000e-06  0.00000000e+00  1.96000000e-06 -7.50150030e-04  1.96000000e-06 -7.50150030e-04  1.96000000e-06  0.00000000e+00  1.96000000e-06  0.00000000e+00  1.96000000e-06  0.00000000e+00  1.96000000e-06  0.00000000e+00  1.96000000e-06  5.99630531e-03  1.96000000e-06  1.14189392e+00  1.96000000e-06  0.00000000e+00  1.96000000e-06  9.54909820e-01 
